"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"6808","QB","Matt","Moore","0.3","2","5600","MIA@WAS","MIA","WAS","","","",""
"6704","WR","Percy","Harvin","8","13","5600","IND@BUF","BUF","IND","P","Hip","",""
"29593","WR","Marqise","Lee","5.2","13","5600","CAR@JAC","JAC","CAR","Q","Hamstring","",""
"22848","QB","Austin","Davis","11.7","10","5600","SEA@STL","STL","SEA","","","",""
"14194","QB","Blaine","Gabbert","6","1","5600","MIN@SF","SF","MIN","","","",""
"14268","RB","Stevan","Ridley","8.3","6","5600","CLE@NYJ","NYJ","CLE","NA","Knee","",""
"14305","RB","Roy","Helu","7.6","14","5600","CIN@OAK","OAK","CIN","","","",""
"14317","TE","Julius","Thomas","11","13","5600","CAR@JAC","JAC","CAR","O","Finger","",""
"9392","WR","Michael","Crabtree","8","16","5600","CIN@OAK","OAK","CIN","","","",""
"6645","WR","Marques","Colston","9.2","16","5500","NO@ARI","NO","ARI","","","",""
"6643","RB","Reggie","Bush","7.9","11","5500","MIN@SF","SF","MIN","","","",""
"45889","WR","Davante","Adams","5.1","16","5500","GB@CHI","GB","CHI","","","",""
"54612","RB","Lorenzo","Taliaferro","5.1","13","5500","BAL@DEN","BAL","DEN","D","Knee","",""
"30244","RB","Matt","Jones","0","0","5500","MIA@WAS","WAS","MIA","","","",""
"54607","RB","Terrance","West","7.7","14","5500","TEN@TB","TEN","TB","","","",""
"25694","RB","Andre","Williams","8.5","16","5500","NYG@DAL","NYG","DAL","","","",""
"6679","QB","Matt","Schaub","0.1","11","5500","BAL@DEN","BAL","DEN","","","",""
"6682","TE","Owen","Daniels","6.7","15","5500","BAL@DEN","DEN","BAL","","","",""
"22130","RB","Dan","Herron","4.1","16","5500","IND@BUF","IND","BUF","","","",""
"6774","WR","Pierre","Garcon","8","16","5500","MIA@WAS","WAS","MIA","","","",""
"29683","WR","Nelson","Agholor","0","0","5500","PHI@ATL","PHI","ATL","","","",""
"34295","WR","Breshad","Perriman","0","0","5500","BAL@DEN","BAL","DEN","D","Knee","",""
"14292","TE","Jordan","Cameron","6.6","10","5500","MIA@WAS","MIA","WAS","","","",""
"38269","RB","Cameron","Artis-Payne","0","0","5500","CAR@JAC","CAR","JAC","","","",""
