Id,Position,First Name,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,ForceDontUse,ForceUse,Picks
14317,TE,Julius,Thomas,11,13,5600,CAR@JAC,JAC,CAR,O,Finger,0,0,
11501,WR,Eric,Decker,10.9,15,6000,CLE@NYJ,NYJ,CLE,,,0,0,
7744,QB,Drew,Stanton,10.9,9,5400,NO@ARI,ARI,NO,,,0,0,
6844,QB,Shaun,Hill,10.8,9,5300,MIN@SF,MIN,SF,,,0,0,
31261,RB,Tre,Mason,10.6,12,7300,SEA@STL,STL,SEA,Q,Hamstring,0,0,
30837,WR,Jordan,Matthews,10.5,16,6800,PHI@ATL,PHI,ATL,,,0,0,
14288,WR,Torrey,Smith,10.5,16,6100,MIN@SF,SF,MIN,P,Knee,0,0,
21941,QB,Robert,Griffin III,10.4,9,7300,MIA@WAS,WAS,MIA,Q,Concussion,0,0,
7844,QB,Chad,Henne,10.4,3,6100,CAR@JAC,JAC,CAR,,,0,0,
11425,RB,Ryan,Mathews,10.4,6,5900,PHI@ATL,PHI,ATL,,,0,0,
6703,RB,Adrian,Peterson,10.3,1,9200,MIN@SF,MIN,SF,,,0,0,
24641,WR,Sammy,Watkins,10.3,16,7600,IND@BUF,BUF,IND,,,0,0,
6733,RB,Jonathan,Stewart,10.3,13,7100,CAR@JAC,CAR,JAC,,,0,0,
31280,K,Cody,Parkey,10.1,16,5000,PHI@ATL,PHI,ATL,P,Leg,0,0,
21957,WR,Kendall,Wright,10,14,5800,TEN@TB,TEN,TB,,,0,0,
6681,WR,Andre,Johnson,9.9,15,6900,IND@BUF,IND,BUF,,,0,0,
29253,WR,Keenan,Allen,9.8,14,7900,DET@SD,SD,DET,,,0,0,
21972,WR,Brian,Quick,9.7,7,5400,SEA@STL,STL,SEA,P,Shoulder,0,0,
6840,RB,Frank,Gore,9.6,16,7500,IND@BUF,IND,BUF,,,0,0,
6863,TE,Delanie,Walker,9.6,15,5400,TEN@TB,TEN,TB,,,0,0,
6668,K,Adam,Vinatieri,9.6,16,5000,IND@BUF,IND,BUF,,,0,0,
27457,WR,Kenny,Stills,9.5,15,5400,MIA@WAS,MIA,WAS,,,0,0,
22018,WR,Mohamed,Sanu,9.5,16,5200,CIN@OAK,CIN,OAK,,,0,0,
6810,K,Dan,Carpenter,9.5,16,4800,IND@BUF,BUF,IND,,,0,0,
33076,TE,Travis,Kelce,9.4,16,6000,KC@HOU,KC,HOU,P,Leg,0,0,
21971,TE,Coby,Fleener,9.4,16,5100,IND@BUF,IND,BUF,,,0,0,
6768,WR,Eddie,Royal,9.4,16,5000,GB@CHI,CHI,GB,P,Hip,0,0,
28643,WR,Allen,Robinson,9.3,10,6100,CAR@JAC,JAC,CAR,,,0,0,
